impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_404.trace,2048,404,4.8107,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_404.trace,2048,404,0.1886,6144,2048,2048,2048,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_505.trace,2048,505,48.195,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_505.trace,2048,505,1.4464,6144,2048,2048,2048,0
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_505.trace,2048,505,4.9331,6144,2048,2048,2048,0
linear_base,batch_then_drain,batch_then_drain_N_2048_S_505.trace,2048,505,0.1991,6144,2048,2048,2048,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_101.trace,262144,101,279.866,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_101.trace,262144,101,999.638,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_101.trace,262144,101,20.2874,786432,262144,262144,262144,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_202.trace,262144,202,279.698,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_202.trace,262144,202,1024.05,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_202.trace,262144,202,19.8936,786432,262144,262144,262144,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_303.trace,262144,303,276.139,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_303.trace,262144,303,996.832,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_303.trace,262144,303,20.3574,786432,262144,262144,262144,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_404.trace,262144,404,276.939,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_404.trace,262144,404,1038.36,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_404.trace,262144,404,21.0523,786432,262144,262144,262144,0
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_505.trace,262144,505,282.808,786432,262144,262144,262144,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_505.trace,262144,505,1032.25,786432,262144,262144,262144,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_505.trace,262144,505,20.3123,786432,262144,262144,262144,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_101.trace,32768,101,12481.9,98304,32768,32768,32768,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_101.trace,32768,101,28.6978,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_101.trace,32768,101,100.218,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_101.trace,32768,101,2.8184,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_202.trace,32768,202,12489.7,98304,32768,32768,32768,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_202.trace,32768,202,28.5832,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_202.trace,32768,202,101.914,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_202.trace,32768,202,2.7945,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_303.trace,32768,303,14593.9,98304,32768,32768,32768,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_303.trace,32768,303,28.8771,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_303.trace,32768,303,94.4685,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_303.trace,32768,303,2.8897,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_404.trace,32768,404,13152.3,98304,32768,32768,32768,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_404.trace,32768,404,40.2844,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_404.trace,32768,404,101.454,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_404.trace,32768,404,2.9153,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_505.trace,32768,505,12523.3,98304,32768,32768,32768,0
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_505.trace,32768,505,31.7163,98304,32768,32768,32768,0
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_505.trace,32768,505,97.5412,98304,32768,32768,32768,0
linear_base,batch_then_drain,batch_then_drain_N_32768_S_505.trace,32768,505,2.5904,98304,32768,32768,32768,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_101.trace,4096,101,195.115,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_101.trace,4096,101,3.5108,12288,4096,4096,4096,0
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_101.trace,4096,101,10.2912,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_101.trace,4096,101,0.3188,12288,4096,4096,4096,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_202.trace,4096,202,197.271,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_202.trace,4096,202,3.484,12288,4096,4096,4096,0
